BT1:1
C1:1
DIR1:1
DSTATUS1:1
G***:1
H1:1
H2:1
H3:1
H4:1
JP1:1
JP2:1
JP3:1
JP4:1
JP5:1
JP6:1
JP7:1
Q1:1
R1:1
R2:1
R3:1
R4:1
R5:1
REF**:1
SW1:1
SW10:1
SW11:1
SW12:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
TP+1:1
TP-1:1
U1:1
U2:1
